German_Lemma,Spanish_Translation
fliegen,volar
Flughafen,aeropuerto
Flugzeug,avión
Formular,formulario
Foto,foto
Frage,pregunta
fragen,preguntar
Frau,mujer
frei,libre
Freizeit,tiempo libre
fremd,extranjero
freuen,alegrarse
Freund,amigo
frites,fritas (en Pommes frites)
früh,antes
Frühstück,desayuno
frühstücken,desayunar
Führung,visita guiada
für,para
Fuß,pie
Fußball,fútbol
gar,nada
Garten,jardín
Gast,invitado
gebären,dar a luz
geben,dar
Geburtsjahr,año de nacimiento
Geburtsort,lugar de nacimiento
Geburtstag,cumpleaños
gefallen,gustar
gegen,contra
gehen,ir
gehören,pertenecer
Geld,dinero
Gemüse,verdura
genau,exacto
genauso,igual
Gepäck,equipaje
gerade,recto
geradeaus,todo recto
gern,con gusto
Geschäft,tienda
Geschenk,regalo
Geschwister,hermanos
Gesicht,cara
Gespräch,conversación
gestern,ayer
gesund,sano
Getränk,bebida
Gewicht,peso
gewinnen,ganar
Glas,vaso
glauben,creer
gleich,igual
Gleis,vía
Glück,suerte
glücklich,feliz
Glückwunsch,felicitación
Gott,Dios
Grad,grado
gratulieren,felicitar
grillen,hacer una barbacoa
groß,grande
Großeltern,abuelos
Großmutter,abuela
Großvater,abuelo
Gruppe,grupo
Gruß,saludo
Größe,talla
gültig,válido
günstig,barato
gut,bueno
Haar,pelo
haben,tener
Hähnchen,pollo
Halbpension,media pensión
Halle,vestíbulo
Hals,cuello
halten,parar
Haltestelle,parada
Hand,mano
Handy,móvil
Haus,casa
Hausaufgabe,deberes
Hausfrau,ama de casa
Hausmann,amo de casa
Heimat,patria
heiraten,casarse
heißen,llamarse
helfen,ayudar
hell,claro
Herd,cocina
Herr,señor
Herz,corazón
herzlich,cordial
heute,hoy
hier,aquí
Hilfe,ayuda
hin,hacia
hinten,detrás
Hobby,afición
hoch,alto
Hochzeit,boda
holen,ir a buscar
hören,oír
Hose,pantalones
Hotel,hotel
Hund,perro
Hunger,hambre
ich,yo
Idee,idea
ihr,vosotros
immer,siempre
in,en
Information,información
international,internacional
Internet,internet
ja,sí
Jacke,chaqueta
Jahr,año
jeder,cada
jetzt,ahora
Job,trabajo
Jugendliche,joven
Junge,chico
Kaffee,café
kaputt,roto
Karte,tarjeta
Kartoffel,patata
Kasse,caja
Katze,gato
kaufen,comprar
kaum,apenas
kein,ningún
kennen,conocer
kennenlernen,conocer a alguien
Kind,niño
Kindergarten,guardería
Kino,cine
Kiosk,quiosco
klar,claro
Kleid,vestido
Kleidung,ropa
klein,pequeño
kochen,cocinar
Koffer,maleta
Kollege,colega
kommen,venir
können,poder
Konto,cuenta
Kopf,cabeza
kosten,costar
krank,enfermo
Kreditkarte,tarjeta de crédito
Kuchen,pastel
Küche,cocina
Kühlschrank,nevera
Kugelschreiber,bolígrafo
kulturell,cultural
kümmern,cuidar
Kunde,cliente
Kurs,curso
kurz,corto
lachen,reír
Laden,tienda
Land,país
lang,largo
lange,mucho tiempo
langsam,despacio
laufen,correr
laut,alto
leben,vivir
Lebensmittel,alimento
ledig,soltero
legen,poner
Lehrer,profesor
Lehrerin,profesora
leicht,fácil
leider,lamentablemente
leise,bajo
lernen,aprender
lesen,leer
letzter,último
Leute,gente
Licht,luz
lieb,querido
lieben,amar
lieber,preferiblemente
liegen,estar tumbado
links,izquierda
Lokal,bar
Lösung,solución
Luft,aire
lustig,divertido
machen,hacer
Mädchen,chica
man,se
Mann,hombre
männlich,masculino
Maschine,máquina
Meer,mar
mehr,más
mein,mi
Mensch,persona
Miete,alquiler
mieten,alquilar
Milch,leche
mit,con
mitbringen,traer consigo
mitkommen,acompañar
mitmachen,participar
mitnehmen,llevar consigo
Mitte,centro
Möbel,muebles
möchten,querer
mögen,gustar
möglich,posible
Moment,momento
morgen,mañana
Morgen,mañana (tageszeit)
müde,cansado
Mund,boca
Musik,música
müssen,deber
Mutter,madre
nach,a
Nachmittag,tarde
nächster,próximo
Name,nombre
Nase,nariz
nehmen,coger
nein,no
neu,nuevo
nicht,no
nichts,nada
nie,nunca
noch,todavía
normal,normal
Nummer,número
nur,solo
oben,arriba
Obst,fruta
oder,o
öffnen,abrir
geöffnet,abierto
oft,a menudo
ohne,sin
Ohr,oreja
Öl,aceite
Oma,abuela
Onkel,tío
Opa,abuelo
Ordnung,orden
Ort,lugar
Paar,par
Papier,papel
Park,parque
Partner,pareja
Party,fiesta
Pass,pasaporte
passieren,ocurrir
Pause,pausa
Person,persona
Plan,plan
Platz,plaza
plötzlich,de repente
Polizei,policía
Pommes,patatas fritas
Post,correos
Postleitzahl,código postal
Praktikum,prácticas
Praxis,consulta
Preis,precio
Problem,problema
Prospekt,folleto
Prüfung,examen
pünktlich,puntual
Rad,rueda
rauchen,fumar
Raum,habitación
Rechnung,factura
rechts,derecha
Regen,lluvia
regnen,llover
Reis,arroz
Reise,viaje
Reisebüro,agencia de viajes
Reiseführer,guía de viaje
reisen,viajar
Reparatur,reparación
reparieren,reparar
Restaurant,restaurante
Rezeption,recepción
richtig,correcto
riechen,oler
ruhig,tranquilo
S-Bahn,tren de cercanías
Sache,cosa
Saft,zumo
sagen,decir
Salat,ensalada
Salz,sal
Satz,frase
Schalter,ventanilla
scheinen,brillar
schenken,regalar
schicken,enviar
Schild,señal
Schinken,jamón
schlafen,dormir
schlecht,malo
schließen,cerrar
Schlüssel,llave
schmecken,saber
schnell,rápido
schon,ya
schön,bonito
Schrank,armario
schreiben,escribir
Schuh,zapato
Schule,escuela
Schüler,alumno
schwer,difícil
Schwester,hermana
schwimmen,nadar
Schwimmbad,piscina
See,lago
Seele,alma
sehen,ver
Sehenswürdigkeit,monumento
sehr,muy
sein,ser
seit,desde
Seite,lado
selbstständig,autónomo
sich,se
sie,ella
Sie,usted
sitzen,estar sentado
so,así
Sofa,sofá
sofort,inmediatamente
Sohn,hijo
sollen,deber
Sonne,sol
spät,tarde
später,más tarde
Spiel,juego
spielen,jugar
Sport,deporte
Sprache,idioma
sprechen,hablar
Stadt,ciudad
stehen,estar de pie
Stelle,puesto
stellen,colocar
sterben,morir
stimmen,estar bien
Stock,piso
Straße,calle
Straßenbahn,tranvía
Student,estudiante
studieren,estudiar
Studium,estudios
Stuhl,silla
Stunde,hora
suchen,buscar
Tag,día
Tante,tía
tanzen,bailar
Tasche,bolso
Taxi,taxi
Tee,té
Teil,parte
Telefon,teléfono
telefonieren,telefonear
Termin,cita
teuer,caro
Text,texto
Thema,tema
Ticket,billete
Tisch,mesa
Tochter,hija
Toilette,baño
toll,genial
Tomate,tomate
tot,muerto
treffen,encontrarse
Treppe,escalera
trinken,beber
tschüss,adiós
tun,hacer
Tür,puerta
über,sobre
übernachten,pernoctar
Uhr,reloj
um,a las
umziehen,mudarse
und,y
Unfall,accidente
unser,nuestro
unten,abajo
unter,debajo
Unterricht,clase
Unterschrift,firma
Urlaub,vacaciones
Vater,padre
verbieten,prohibido
verdienen,ganar
Verein,club
vergessen,olvidar
verheiratet,casado
verkaufen,vender
Verkäufer,vendedor
verlieren,perder
vermieten,alquilar
Vermieter,arrendador
verstehen,entender
Verwandte,pariente
viel,mucho
vielleicht,quizás
von,de
vor,delante de
Vorname,nombre
Vorsicht,cuidado
vorstellen,presentar
Vorwahl,prefijo
wahr,verdadero
wahrscheinlich,probablemente
Wald,bosque
wandern,hacer senderismo
wann,cuándo
warten,esperar
warum,por qué
was,qué
waschen,lavar
Wasser,agua
weiblich,femenino
Wein,vino
weinen,llorar
weit,lejos
weiter,continuar
welcher,cuál
Welt,mundo
wenig,poco
wer,quién
werden,llegar a ser
Wetter,tiempo
wichtig,importante
wie,cómo
wieder,otra vez
Wiederhören,hasta luego
wiederholen,repetir
Wiedersehen,hasta la vista
willkommen,bienvenido
Wind,viento
wir,nosotros
wissen,saber
wo,dónde
woher,de dónde
wohin,a dónde
wohnen,vivir
Wohnung,apartamento
wollen,querer
Wort,palabra
wunderbar,maravilloso
Zahl,número
zahlen,pagar
Zeit,tiempo
Zeitung,periódico
Zentrum,centro
Zigarette,cigarrillo
Zimmer,habitación
Zoll,aduana
Zucker,azúcar
zufrieden,satisfecho
Zug,tren
zurück,de vuelta
zusammen,juntos
zwischen,entre
abschließen,terminar
Ahnung,idea
Alkohol,alcohol
als,que
Ampel,semáforo
angetan,atraído
Angst,miedo
Antwortbogen,hoja de respuestas
Apotheke,farmacia
arbeitslos,desempleado
Arbeitsplatz,puesto de trabajo
Artikel,artículo
aufpassen,prestar atención
Ausbildung,formación
ausgeben,gastar
ausländisch,extranjero
außer,excepto
austauschen,intercambiar
automatisch,automático
bedanken,agradecer
beeilen,darse prisa
beenden,terminar
beraten,aconsejar
berichten,informar
beschweren,quejarse
bestehen,aprobar
bestätigen,confirmar
Besuch,visita
bewerben,solicitar
bisher,hasta ahora
bloß,solo
Blut,sangre
Boden,suelo
Boot,bote
Box,caja
Chance,oportunidad
Couch,sofá
Cousin,primo
Cousine,prima
Dach,techo
daran,en eso
darauf,en eso
darüber,sobre eso
darum,por eso
dasselbe,lo mismo
davon,de eso
dazu,además
deutlich,claramente
dran,en ello
drauf,encima
drinnen,dentro
drüber,encima
Druck,presión
dumm,tonto
dunkel,oscuro
dünn,delgado
E-Book,libro electrónico
echt,de verdad
ehren,honrar
eigen,propio
eigentlich,en realidad
Einkaufszentrum,centro comercial
einig,de acuerdo
einpacken,empaquetar
eintragen,inscribir
einverstanden,de acuerdo
einzeln,individual
einziehen,mudarse
Energie,energía
eng,estrecho
Enkel,nieto
Erde,tierra
Erdgeschoss,planta baja
Erfahrung,experiencia
Erfolg,éxito
Ergebnis,resultado
erinnern,recordar
erkälten,resfriar
Erlaubnis,permiso
Ermäßigung,descuento
erreichen,llegar
erst,primero
erwarten,esperar
etwas,algo
Fabrik,fábrica
Fach,asignatura
Fahrplan,horario
falls,en caso de
Fan,fan
fantastisch,fantástico
faul,vago
Fernseher,televisor
Festival,festival
fett,graso
Finger,dedo
fit,en forma
fleißig,trabajador
Flohmarkt,mercadillo
Flug,vuelo
Flur,pasillo
Fluss,río
folgen,seguir
fort,fuera
Fotoapparat,cámara de fotos
fotografieren,fotografiar
freiwillig,voluntario
freundlich,amable
frisch,fresco
froh,alegre
fühlen,sentir
Fundsachen,objetos perdidos
furchtbar,terrible
Gabel,tenedor
ganz,entero
Garage,garaje
Gedanke,pensamiento
gefährlich,peligroso
Gegenteil,contrario
gegenüber,enfrente
Geldbörse,monedero
gelten,valer
genug,suficiente
Gerät,aparato
Gericht,plato
geschehen,suceder
Geschichte,historia
Geschirr,vajilla
Gesundheit,salud
Gewitter,tormenta
Gitarre,guitarra
Gold,oro
Grippe,gripe
Grund,razón
Hamburger,hamburguesa
Handtuch,toalla
hängen,colgar
hart,duro
hässlich,feo
Hauptstadt,capital
Haushalt,hogar
Haut,piel
Heft,cuaderno
heiß,caliente
Heizung,calefacción
Hemd,camisa
her,hacia aquí
heraus,afuera
herein,adentro
herstellen,fabricar
herunterladen,descargar
Himmel,cielo
hinter,detrás de
hoffen,esperar
hoffentlich,ojalá
Homepage,página web
husten,toser
Hut,sombrero
informieren,informar
Insel,isla
Instrument,instrumento
intelligent,inteligente
interessant,interesante
Interesse,interés
interessieren,interesar
Interview,entrevista
irgendwie,de alguna manera
irgendwo,en algún lugar
irgendwas,algo
Jeans,vaqueros
jemals,alguna vez
jemand,alguien
joggen,hacer footing
Jugendherberge,albergue juvenil
Kalender,calendario
kalt,frío
Kamera,cámara
Kaufhaus,grandes almacenes
Keller,sótano
Kenntnis,conocimientos
Kerl,tipo
Kette,cadena
Kirche,iglesia
klappen,funcionar
Klasse,clase
Klavier,piano
Klinik,clínica
klingen,sonar
klug,listo
komisch,raro
Kontakt,contacto
kontrollieren,controlar
Konzert,concierto
Körper,cuerpo
Kosmetik,cosmética
kostenlos,gratis
Kraft,energía
Krankenhaus,hospital
Krankenkasse,seguro médico
Krankheit,enfermedad
Kredit,crédito
Kreuzung,cruce
Krieg,guerra
kriegen,conseguir
Krimi,novela negra
kühl,fresco
Kultur,cultura
Kunst,arte
Lampe,lámpara
Landschaft,paisaje
langweilig,aburrido
Laptop,portátil
lassen,dejar
leer,vacío
leiden,sufrir
leidtun,sentir
leihen,prestar
leisten,permitirse
liefern,entregar
Link,enlace
Lob,alabanza
Löffel,cuchara
Lohn,salario
Lüge,mentira
lügen,mentir
Lust,gana
Magen,estómago
Mailbox,buzón de voz
mal,vez
malen,pintar
manch,alguno
manchmal,a veces
Mannschaft,equipo
Mantel,abrigo
Mauer,muro
Medikament,medicamento
meinen,opinar
Meinung,opinión
meist,la mayoría
Menge,cantidad
merken,darse cuenta
Messe,feria
Messer,cuchillo
mindestens,por lo menos
Mineralwasser,agua mineral
Mitarbeiter,empleado
Mittagessen,almuerzo
Mittel,medio
Mobiltelefon,teléfono móvil
Mode,moda
modern,moderno
Motor,motor
Motorroller,scooter
Motto,lema
Müll,basura
Museum,museo
Mütze,gorro
Nachbar,vecino
Nachricht,noticia
Nähe,cercanía
nass,mojado
Natur,naturaleza
natürlich,por supuesto
neben,al lado
nebenan,al lado
neblig,con niebla
nennen,llamar
nervös,nervioso
nett,amable
niemals,nunca
niemand,nadie
nirgends,en ninguna parte
Not,emergencia
notieren,anotar
Notiz,nota
notwendig,necesario
Nudel,pasta
nützlich,útil
offen,abierto
offenbar,obviamente
online,en línea
Orange,naranja
organisieren,organizar
packen,hacer la maleta
Paket,paquete
Parfüm,perfume
parken,aparcar
passen,quedar bien
Passwort,contraseña
perfekt,perfecto
Pferd,caballo
Pflanze,planta
Plakat,cartel
planen,planear
Portion,porción
Poster,póster
Postkarte,postal
praktisch,práctico
preiswert,barato
privat,privado
probieren,probar
Produkt,producto
Programm,programa
Projekt,proyecto
prüfen,comprobar
Pullover,jersey
putzen,limpiar
Qualität,calidad
Quatsch,tonterías
Quiz,concurso
Radio,radio
raten,adivinar
Rathaus,ayuntamiento
Rätsel,acertijo
raus,afuera
Recht,derecho
rechnen,calcular
Rede,discurso
reden,hablar
Regel,regla
reich,rico
Reifen,neumático
Reihe,fila
rein,adentro
Reinigung,limpieza
reiten,montar
renovieren,renovar
Rentner,jubilado
reservieren,reservar
Respekt,respeto
Rest,resto
Rezept,receta
Rind,ternera
Ring,anillo
Rock,falda
Rolle,rol
romantisch,romántico
Rose,rosa
Rucksack,mochila
Rücken,espalda
rufen,llamar
Ruhe,tranquilidad
rund,redondo
Rundgang,recorrido
sammeln,coleccionar
sauber,limpio
sauer,ácido
schade,lástima
schädlich,dañino
schaffen,lograr
scharf,picante
Schere,tijeras
Schiff,barco
schimpfen,regañar
Schirm,paraguas
Schlafzimmer,dormitorio
schließlich,finalmente
schlimm,grave
Schloss,castillo
schmutzig,sucio
Schmerz,dolor
Schnee,nieve
schneiden,cortar
schneien,nevar
Schokolade,chocolate
schrecklich,terrible
schriftlich,por escrito
Schuld,culpa
schwach,débil
schwanger,embarazada
Schwein,cerdo
schwierig,difícil
Seife,jabón
Sekunde,segundo
selber,mismo
selbst,mismo
Sendung,programa
Service,servicio
setzen,sentar
sicher,seguro
Signal,señal
singen,cantar
Sinn,sentido
Situation,situación
Ski,esquí
sogar,incluso
solange,mientras
sonnig,soleado
sonst,si no
Sorge,preocupación
sowieso,de todos modos
spannend,emocionante
sparen,ahorrar
Spaß,diversión
spazieren,pasear
Spaziergang,paseo
speichern,guardar
Speisekarte,carta
sportlich,deportivo
Sportplatz,campo de deportes
Sprechstunde,horario de consulta
spüren,sentir
Stadtplan,plano de la ciudad
ständig,constantemente
Star,estrella
stark,fuerte
statt,en lugar de
stattfinden,tener lugar
Stiefel,bota
Stift,lápiz
Stimme,voz
Stockwerk,planta
stören,molestar
Strand,playa
streng,estricto
Stress,estrés
stressig,estresante
streiten,discutir
Studie,estudio
Stück,trozo
super,genial
Supermarkt,supermercado
Suppe,sopa
surfen,navegar
süß,dulce
Süßigkeiten,dulces
sympathisch,simpático
Tablet,tableta
Tablette,pastilla
Tafel,pizarra
Taschengeld,paga
Tasse,taza
Team,equipo
Technik,técnica
teilen,compartir
teilnehmen,participar
Teller,plato
Tennis,tenis
Theater,teatro
tief,profundo
Tier,animal
Tipp,consejo
Titel,título
Tod,muerte
Topf,olla
Torte,tarta
total,totalmente
Tour,excursión
Tourist,turista
tragen,llevar
Training,entrenamiento
trainieren,entrenar
Traum,sueño
träumen,soñar
traurig,triste
trocken,seco
T-Shirt,camiseta
typisch,típico
üben,practicar
überall,en todas partes
übermorgen,pasado mañana
übersetzen,traducir
Übersetzung,traducción
übrig,restante
umsteigen,hacer transbordo
unbedingt,absolutamente
unterhalten,charlar
Unterkunft,alojamiento
unternehmen,emprender
Unterschied,diferencia
untersuchen,examinar
unterwegs,de camino
Veranstaltung,evento
verändern,cambiar
Verkauf,venta
Verkehr,tráfico
Verkehrsmittel,medio de transporte
verletzen,herir
verlieben,enamorarse
vermissen,echar de menos
verpassen,perder
verreisen,irse de viaje
verschieben,posponer
verschieden,diferente
Verspätung,retraso
versuchen,intentar
Vertrag,contrato
Vogel,pájaro
voll,lleno
Volleyball,voleibol
vorbei,pasado
vorbereiten,preparar
vorgestern,anteayer
vorher,antes
vorn,delante
Vorschlag,sugerencia
vorsichtig,con cuidado
vorwärts,hacia adelante
wach,despierto
wachen,vigilar
Wagen,coche
wählen,elegir
Wand,pared
Ware,mercancía
warm,caliente
Webseite,página web
wechseln,cambiar
wecken,despertar
weg,ido
Weg,camino
wegen,a causa de
wehtun,doler
weich,blando
weil,porque
wenigstens,por lo menos
wenn,cuando
Werkstatt,taller
Wettbewerb,concurso
wirklich,de verdad
Witz,chiste
witzig,gracioso
Wohnzimmer,salón
Wolke,nube
Workshop,taller
wundern,sorprenderse
Wunsch,deseo
wünschen,desear
Wurst,salchicha
Zahn,diente
zeichnen,dibujar
zeigen,mostrar
Zeitschrift,revista
Zelt,tienda de campaña
Zettel,nota
Zeugnis,certificado
ziehen,tirar
Ziel,meta
Zirkus,circo
Zitrone,limón
Zoo,zoo
zuerst,primero
zufällig,por casualidad
zuhören,escuchar
Zukunft,futuro
zuletzt,por último
zumachen,cerrar
zwar,ciertamente
Abbildung,ilustración
Abenteuer,aventura
Abenteuerlust,espíritu aventurero
Abfall,basura
Abfalleimer,papelera
Abgase,gases de escape
Abhängigkeit,dependencia
Abitur,selectividad
Abonnement,suscripción
Abschluss,final
Abschnitt,sección
Absicht,intención
Absperrung,barrera
Abstammung,origen
Abteilung,departamento
Abwart,conserje
Achterbahn,montaña rusa
Aktion,acción
Aktivität,actividad
Alarm,alarma
Alleinerziehende,padre/madre soltero/a
aller,el más
allerdings,sin embargo
allgemein,general
Alltag,vida cotidiana
alltäglich,cotidiano
Alphabet,alfabeto
Altenheim,residencia de ancianos
Altersheim,residencia de ancianos
Alternative,alternativa
alternativ,alternativamente
Altersunterschied,diferencia de edad
Alzheimer,alzheimer
Amt,oficina
Amtsübergabe,traspaso de poderes
amüsieren,divertir
Analphabet,analfabeto
analysieren,analizar
Anbieter,proveedor
andererseits,por otro lado
anders,diferente
Anerkennung,reconocimiento
anerkennen,reconocer
anfangs,al principio
Anforderung,requisito
Angabe,indicación
angeben,indicar
Angebotserstellung,elaboración de ofertas
Angehöriger,familiar
angenehm,agradable
Angestellter,empleado
Angewohnheit,hábito
anhaben,llevar puesto
Anhängerschaft,seguidores
Ankunftsabend,noche de llegada
Ankündigung,anuncio
ankündigen,anunciar
Ankündigungstext,texto de anuncio
Anlage,instalación
Anleitung,instrucciones
annehmen,aceptar
Annonce,anuncio
Anrufbeantworter,contestador automático
anschaffen,comprar
anschließen,conectar
anschnallen,abrocharse el cinturón
ansehen,mirar
ansprechen,dirigirse a
Anspruch,derecho
anstellen,contratar
anstrengen,esforzar
anstrengend,agotador
Antrag,solicitud
Anwalt,abogado
Anwendung,aplicación
anwenden,aplicar
Anwesenheit,presencia
anwesend,presente
Anziehungspunkt,atracción
anzeigen,denunciar
Anzug,traje
Apparat,aparato
Aprikose,albaricoque
Arbeiter,obrero
Arbeitgeber,empleador
Arbeitnehmende,trabajadores
Arbeitnehmer,empleado
Arbeitnehmerrecht,derechos laborales
Arbeitsatmosphäre,ambiente de trabajo
Arbeitsaufwand,carga de trabajo
Arbeitsbedingungen,condiciones laborales
Arbeitschance,oportunidad laboral
Arbeitserlaubnis,permiso de trabajo
Arbeitsformen,formas de trabajo
Arbeitsgebiet,área de trabajo
Arbeitsgericht,tribunal laboral
Arbeitsklima,clima laboral
Arbeitskraft,mano de obra
Arbeitslohn,salario
Arbeitsloser,desempleado
Arbeitslosigkeit,desempleo
Arbeitsmarkt,mercado laboral
Arbeitsrechtler,abogado laboralista
Arbeitssituation,situación laboral
Arbeitsstelle,puesto de trabajo
Arbeitstag,jornada laboral
Arbeitsumfeld,entorno laboral
Arbeitsvertrag,contrato de trabajo
Arbeitsweise,método de trabajo
Arbeitswelt,mundo laboral
Architekt,arquitecto
arm,pobre
Artensterben,extinción de especies
Asyl,asilo
Asylberechtigter,refugiado
Atem,respiración
atmen,respirar
Atombombe,bomba atómica
Atomenergie,energía nuclear
Atomkraftwerk,central nuclear
Atommeiler,reactor nuclear
Aufenthalt,estancia
Aufenthaltserlaubnis,permiso de residencia
Auffassung,concepción
auffallen,llamar la atención
Aufforderung,petición
auffordern,pedir
aufführen,representar
Aufgabengebiet,área de responsabilidad
Aufgabenteilung,división de tareas
aufgeben,rendirse
Aufgeschlossenheit,apertura mental
aufhalten,detener
aufheben,recoger
Aufklärung,ilustración
aufladen,cargar
auflösen,disolver
Aufmerksamkeit,atención
aufmerksam,atento
Aufnahme,grabación
aufnehmen,grabar
Aufnahmeprüfung,examen de admisión
Aufregung,agitación
aufregen,excitar
aufregend,emocionante
aufräumen,ordenar
Aufteilung,distribución
Auftrag,encargo
Auftritt,actuación
auftreten,actuar
aufwachen,despertarse
aufwärts,hacia arriba
Aufzählung,enumeración
Augenblick,momento
ausbilden,formar
Ausarbeitung,elaboración
Ausbeutung,explotación
Ausbildungsangebot,oferta formativa
Ausbildungsmöglichkeit,oportunidad de formación
Ausbreitung,propagación
Ausdruck,expresión
ausdrucken,imprimir
auseinander,separado
Ausfahrt,salida
Ausflügler,excursionista
Ausführung,ejecución
Ausgabe,gasto
ausgehen,salir
Ausgrenzung,exclusión
Aushilfe,ayudante
Auslandserfahrung,experiencia internacional
Auslandssemester,semestre en el extranjero
Ausländerquote,cuota de extranjeros
Ausnahme,excepción
auspacken,desempacar
Ausreise,salida del país
Ausreisekontrolle,control de salida
ausreichen,ser suficiente
ausreichend,suficiente
ausrichten,transmitir un recado
ausruhen,descansar
Ausrüstung,equipamiento
Ausschreibung,convocatoria
ausschließen,excluir
ausschließlich,exclusivamente
Aussicht,vista
Aussprache,pronunciación
aussprechen,pronunciar
Ausstellung,exposición
ausstellen,exponer
aussuchen,elegir
austragen,repartir
Auswahl,selección
auswählen,elegir
Auswertung,evaluación
Auswirkung,efecto
auszeichnen,excelente
Automatisierung,automatización
Automobilhersteller,fabricante de automóviles
Autor,autor
außen,fuera
außerdem,además
außerhalb,fuera de
Babysitter,canguro
backen,hornear
Badewanne,bañera
Bakterium,bacteria
Ballett,ballet
Band,grupo de música
Bankleitzahl,código bancario
Bankomat,cajero automático
Bankomatkarte,tarjeta de cajero
Bargeld,dinero en efectivo
Bart,barba
basteln,hacer manualidades
Batterie,pila
Bau,construcción
bauen,construir
Bauer,campesino
Baustelle,obra
Beachtung,consideración
beachten,prestar atención
Beamter,funcionario
beantragen,solicitar
beantworten,responder
Bedarf,necesidad
Bedeutung,significado
Bedeutungsnuance,matiz de significado
Bedeutungsverlust,pérdida de importancia
bedienen,atender
Bedienungsanleitung,instrucciones de uso
Bedingung,condición
Bedürfnis,necesidad
Bedürftiger,necesitado
Beeinträchtigung,deterioro
befinden,encontrar
befreien,liberar
befriedigend,satisfactorio
Befürchtung,temor
